name,street,city,state,zip,latitude,longitude,facility_type,offers_methadone,offers_buprenorphine,offers_naltrexone,accepts_medicaid
Northwestern Medicine Palos Hospital,12251 South 80th Avenue,Palos Heights,IL,60463,41.6698049,-87.8128143,"MH, SA",False,True,True,True
"Radius Foundation, Inc.",11952 S.Harlem Ave. Suite 100,Palos Heights,IL,60463,41.674266,-87.797014,"OTP, SA",True,True,True,True
Ascension Illinois Presence Behavioral,11824 Southwest Highway,Palos Heights,IL,60463,41.6770304,-87.8159019,SA,False,True,True,False
MacNeal Hospital,3249 South Oak Park Avenue,Berwyn,IL,60402,41.8321601,-87.7916177,"MH, SA",False,True,True,True
"Edward Hines Jr., VA Hospital",5th Avenue and Roosevelt Road,Hines,IL,60141,41.85926,-87.837144,OTP,True,False,False,False
Chicago Treatment and,5635 West Roosevelt Road,Cicero,IL,60804,41.8652418,-87.7659458,SA,True,False,False,True
Loretto Hospital,645 South Central Avenue,Chicago,IL,60644,41.8721272,-87.7636486,"MH, SA",False,True,True,True
Maryville Academy/St Josephine,115 North Parkside Avenue,Chicago,IL,60644,41.882788,-87.7661625,SA,False,True,True,True
"Strive to Serenity, LLC",7124 W Grand Ave,Chicago,IL,60707,41.9239401,-87.8035741,"OTP, SA",True,False,False,True
Rosecrance Inc,5440 North Cumberland Avenue,Chicago,IL,60656,41.9778366,-87.8374239,"MH, SA",False,True,True,True
SunCloud Health SC,40 Skokie Boulevard,Northbrook,IL,60062,42.1520409,-87.8022304,"MH, SA",False,True,True,False
Kenosha Comprehensive Treatment,7991 Sheridan Road,Kenosha,WI,53143,42.5587562,-87.8250252,"OTP, SA",True,True,True,True
West Grove Clinic SC,1400 75th Street,Kenosha,WI,53143,42.566076,-87.8271515,"MH, SA",False,True,True,True
Behavioral Health Services of,1717 Taylor Avenue,Racine,WI,53403,42.7091786,-87.8045141,"MH, SA",False,True,True,True
Henry Ford Behavioral Health All Saint,1333 Wisconsin Avenue,Racine,WI,53403,42.7157658,-87.7845645,"MH, SA",False,True,True,True
ODA Solutions Inc,4237 1/2 West 95th Street,Oak Lawn,IL,60453,41.720166,-87.7281417,"MH, SA",True,True,True,True
Vivia Health Gage Park,3306 West 63rd Street,Chicago,IL,60629,41.7790918,-87.7058914,"MH, SA",False,True,True,True
Recovery Concepts lll LLC,5334 South Archer Avenue,Chicago,IL,60632,41.799152,-87.7411361,"OTP, SA",True,True,False,True
Lawndale Christian Health Center,5122 South Archer Avenue,Chicago,IL,60632,41.8007841,-87.7304023,"MH, SA",False,True,True,True
Break the Cycle Foundation Inc,4103 West 26th Street,Chicago,IL,60623,41.8439471,-87.7272376,"OTP, SA",True,False,False,True
Lawndale Christian Health Center,3256 West 24th Street,Chicago,IL,60623,41.8483874,-87.7082554,"MH, SA",False,True,True,True
"Pilsen-Little Village Community Mental Health Center, Inc. - Substance Abuse Division",3113  West Cermak Rd.,Chicago,IL,60623,41.85165,-87.703337,"OTP, SA",True,False,False,True
Lawndale Christian Health Center,3860 West Ogden Avenue,Chicago,IL,60623,41.852495,-87.7219686,"MH, SA",False,True,True,True
Lawndale Christian Health Center,3750 West Ogden Avenue,Chicago,IL,60623,41.8533492,-87.7193198,"MH, SA",False,True,True,True
Chicago Treatment and,1849 South Cicero Avenue,Cicero,IL,60804,41.8550945,-87.7441307,SA,True,False,False,True
New Age Services Corporation,1330 South Kostner Avenue,Chicago,IL,60623,41.863572,-87.735049,"MH, OTP, SA",True,True,False,True
